Date,Open,High,Low,Close,Volume
1907-03-31,10.42,10.6,8.02,8.6
1907-06-30,8.78,9.02,8.16,8.57
1907-09-30,8.63,8.76,7.63,7.77
1907-12-31,7.8,7.8,6.33,6.93
1908-03-31,7.02,7.62,6.78,7.41
1908-06-30,7.44,8.36,7.38,8.02
1908-09-30,8.03,8.97,8.02,8.6
1908-12-31,8.59,9.61,8.59,9.6
1909-03-31,9.65,9.69,9.05,9.69
1909-06-30,9.69,10.33,9.63,10.2
1909-09-30,10.25,10.84,10.24,10.73
1909-12-31,10.77,10.78,10.27,10.61
1910-03-31,10.53,10.56,9.5,9.82
1910-06-30,9.81,10.06,8.96,8.96
1910-09-30,9,9.18,8.37,9.07
1910-12-31,9.09,9.5,8.89,9.1
1911-03-31,9.19,9.59,9.16,9.37
1911-06-30,9.38,9.8,9.22,9.74
1911-09-30,9.74,9.82,8.6,8.78
1911-12-31,8.79,9.41,8.78,9.27
1912-03-31,9.3,9.63,9.12,9.63
1912-06-30,9.66,9.88,9.57,9.74
1912-09-30,9.77,10.09,9.53,10.09
1912-12-31,10.08,10.1,9.32,9.48
1913-03-31,9.54,9.57,8.72,8.96
1913-06-30,9.05,9.14,8.04,8.3
1913-09-30,8.36,8.9,8.29,8.68
1913-12-31,8.71,8.76,8.23,8.44
1914-03-31,8.43,8.89,8.41,8.62
1914-06-30,8.63,8.63,8.13,8.43
1914-09-30,8.4,8.5,7.39,7.39
1914-12-31,7.55,7.78,7.33,7.47
1915-03-31,7.46,8.05,7.41,8.02
1915-06-30,8.03,8.82,7.88,8.5
1915-09-30,8.47,9.83,8.17,9.83
1915-12-31,9.84,10.78,9.75,10.7
1916-03-31,10.67,10.67,9.87,10.06
1916-06-30,10.08,10.47,9.5,10.1
1916-09-30,10.05,11.04,9.88,10.99
1916-12-31,11,11.32,10,10.34
1917-03-31,10.41,10.58,9.53,10.11
1917-06-30,10.21,10.21,9.28,9.81
1917-09-30,9.69,9.72,8.63,8.8
1917-12-31,8.74,8.74,7.06,7.96
1918-03-31,8.06,8.44,7.78,8.09
1918-06-30,8.12,8.7,7.93,8.56
1918-09-30,8.49,8.82,8.4,8.79
1918-12-31,8.73,9.34,8.44,8.6
1919-03-31,8.62,8.98,8.3,8.9
1919-06-30,8.91,10.23,8.91,9.99
1919-09-30,10.04,10.41,9.14,9.92
1919-12-31,9.97,10.3,9.16,9.43
1920-03-31,9.52,9.62,8.18,9.24
1920-06-30,9.22,9.4,8.12,8.35
1920-09-30,8.38,8.78,8.06,8.48
1920-12-31,8.61,8.8,7.05,7.64
1921-03-31,7.67,7.92,7.3,7.57
1921-06-30,7.54,7.96,6.73,7.2
1921-09-30,7.17,7.54,6.91,7.5
1921-12-31,7.55,8.04,7.2,8.02
1922-03-31,7.87,8.76,7.86,8.76
1922-06-30,8.77,9.46,8.77,9.16
1922-09-30,9.16,10.12,9.16,9.6
1922-12-31,9.73,10.16,8.99,9.54
1923-03-31,9.55,10.08,9.38,9.8
1923-06-30,9.67,9.85,8.5,8.5
1923-09-30,8.64,8.99,8.47,8.58
1923-12-31,8.62,9.11,8.44,9.11
1924-03-31,9.11,9.49,8.95,9
1924-06-30,9.04,9.41,8.76,9.41
1924-09-30,9.41,10.21,9.41,9.98
1924-12-31,10.04,11.3,9.57,11.3
1925-03-31,11.38,11.69,10.74,10.88
1925-06-30,10.96,11.87,10.91,11.85
1925-09-30,11.91,12.98,11.87,12.7
1925-12-31,12.77,13.92,12.73,13.92
1926-03-31,14.03,14.13,12.27,12.7
1926-06-30,12.69,13.82,12.47,13.82
1926-09-30,13.83,14.93,13.81,14.43
1926-12-31,14.54,14.68,13.47,14.36
1927-03-31,14.21,15.03,14.08,14.99
1927-06-30,15.01,16.02,15.01,15.49
1927-09-30,15.6,17.54,15.6,17.54
1927-12-31,17.63,17.79,16.21,17.7
1928-03-31,17.76,19.28,16.95,19.13
1928-06-30,18.91,20.44,18.34,19.19
1928-09-30,18.98,21.43,18.7,21.37
1928-12-31,21.2,24.75,20.75,24.35
1929-03-31,24.27,26.38,23.12,25.53
1929-06-30,25.19,27.71,24.01,27.62
1929-09-30,27.65,32.24,27.5,30.16
1929-12-31,30.06,31.29,17.37,21.45
1930-03-31,21.55,25.4,20.87,25.14
1930-06-30,25.28,26.26,18.82,20.46
1930-09-30,20.54,22.08,18.33,18.59
1930-12-31,18.68,19.66,14.1,15.34
1931-03-31,15.36,18.53,15.08,16.69
1931-06-30,16.67,16.99,12.02,14.83
1931-09-30,14.82,15.45,9.63,9.71
1931-12-31,9.62,11.76,7.51,8.12
1932-03-31,8.17,9.15,7.23,7.31
1932-06-30,7.29,7.4,4.27,4.43
1932-09-30,4.43,9.42,4.35,8.08
1932-12-31,8.09,8.21,6.33,6.89
1933-03-31,6.9,7.49,5.41,5.85
1933-06-30,5.85,11.16,5.78,10.91
1933-09-30,11,12.4,9.19,9.83
1933-12-31,9.81,10.52,8.43,10.1
1934-03-31,10.06,11.94,9.71,10.75
1934-06-30,10.75,11.2,9.17,9.81
1934-09-30,9.78,10.06,8.27,9.1
1934-12-31,9.01,9.62,8.7,9.5
1935-03-31,9.46,9.65,8.04,8.47
1935-06-30,8.51,10.58,8.43,10.23
1935-09-30,10.23,12.02,10.21,11.59
1935-12-31,11.51,13.53,11.06,13.43
1936-03-31,13.4,15.22,13.27,14.92
1936-06-30,15,15.62,13.37,14.84
1936-09-30,14.83,16.33,14.74,16.01
1936-12-31,15.99,17.8,15.96,17.18
1937-03-31,17.15,18.8,16.86,17.92
1937-06-30,17.82,17.84,14.99,15.4
1937-09-30,15.4,17.36,13.04,13.76
1937-12-31,13.78,13.83,10.09,10.55
1938-03-31,10.55,12,8.37,8.5
1938-06-30,8.74,11.93,8.74,11.56
1938-09-30,11.68,12.92,10.85,12.24
1938-12-31,12.33,13.82,12.28,13.21
1939-03-31,13.18,13.26,10.95,10.98
1939-06-30,11.15,11.86,10.1,10.86
1939-09-30,10.88,13.34,10.64,13.02
1939-12-31,12.97,13.25,12.13,12.49
1940-03-31,12.55,12.81,11.94,12.25
1940-06-30,12.23,12.66,8.86,9.98
1940-09-30,9.93,10.96,9.81,10.66
1940-12-31,10.71,11.45,10.33,10.58
1941-03-31,10.52,10.92,9.51,9.96
1941-06-30,9.94,10.2,9.26,9.85
1941-09-30,9.84,10.57,9.79,10.2
1941-12-31,10.16,10.21,8.28,8.69
1942-03-31,8.75,9.14,7.91,8.01
1942-06-30,8.01,8.56,7.45,8.3
1942-09-30,8.28,8.92,8.2,8.85
1942-12-31,8.88,9.84,8.88,9.77
1943-03-31,9.81,11.62,9.81,11.58
1943-06-30,11.59,12.38,11.02,12.35
1943-09-30,12.34,12.7,11.46,12.08
1943-12-31,12.07,12.12,10.96,11.67
1944-03-31,11.66,12.34,11.55,12.02
1944-06-30,12.04,13.06,11.66,12.98
1944-09-30,12.98,13.31,12.32,12.78
1944-12-31,12.78,13.33,12.63,13.28
1945-03-31,13.3,14.44,13.17,13.64
1945-06-30,13.65,15.43,13.65,14.96
1945-09-30,14.98,16.18,14.36,16.16
1945-12-31,16.2,17.77,16.2,17.36
1946-03-31,17.34,18.77,16.64,18.08
1946-06-30,18.11,19.33,17.86,18.43
1946-09-30,18.48,18.73,14.23,14.96
1946-12-31,15,15.56,14,15.3
1947-03-31,15.27,16.23,14.62,15.17
1947-06-30,15.2,15.31,13.58,15.21
1947-09-30,15.22,16.19,14.78,15.11
1947-12-31,15.11,15.87,14.58,15.3
1948-03-31,15.36,15.39,13.74,15.08
1948-06-30,15.09,17.12,14.99,16.74
1948-09-30,16.74,16.96,15.17,15.49
1948-12-31,15.53,16.76,14.68,15.2
1949-03-31,15.12,15.71,14.34,15.06
1949-06-30,15,15.11,13.5,14.16
1949-09-30,14.19,15.82,14.15,15.58
1949-12-31,15.54,16.82,15.45,16.76
1950-03-31,16.66,17.61,16.65,17.29,140429067
1950-06-30,17.34,19.4,17.34,17.69,165973331
1950-09-30,17.64,19.45,16.68,19.45,135622225
1950-12-31,19.69,20.43,19,20.41,184132002
1951-03-31,20.77,22.21,20.69,21.4,182245690
1951-06-30,21.32,22.81,20.96,20.96,129993332
